Bulls,Warriors,1,-3,-4,-12,2,29,,,,
Bulls,Trailblazers,7,9,8,5,2,28,,,,
Bulls,Pacers,-12,-9,-9,-12,2,18,,,,
Bulls,Spurs,-6,1,-3,3,2,24,,,,
Bulls,Nuggets,7,5,-4,9,2,17,,,,
Bulls,Hornets,-4,-2,3,-6,2,9,,,,
Bulls,Suns,3,0,16,-2,2,25,,,,
Bulls,Celtics,0,3,0,-5,2,4,,,,
Bulls,Clippers,-1,9,10,3,2,5,,,,
Bulls,Pelicans,-8,-3,-6,4,2,19,,,,
Bulls,Seventysixers,5,-5,17,19,2,23,,,,
Bulls,Grizzlies,4,-3,8,13,2,6,,,,
Bulls,Pistons,-3,-3,3,-3,2,20,,,,
Bulls,Knicks,-7,-10,-9,-16,2,12,,,,
Bulls,Nets,-7,-3,-7,-3,2,16,,,,
Bulls,Thunder,6,2,18,9,2,26,,,,
Bulls,Mavericks,-7,1,-1,-7,2,15,,,,
Bulls,Raptors,-9,-3,5,7,2,21,,,,
Bulls,Pacers,0,10,4,2,2,18,,,,
Bulls,Knicks,16,6,4,27,2,12,,,,
Bulls,Raptors,0,-12,-6,2,2,21,,,,
Bulls,Bucks,8,6,5,11,2,1,,,,
Bulls,Celtics,-6,1,11,9,2,4,,,,
Bulls,Hawks,-11,-13,-6,-15,2,7,,,,
Bulls,Wizards,-3,-14,-9,-14,2,30,,,,
Bulls,Bucks,9,5,3,-5,2,1,,,,
Bulls,Seventysixers,-12,-16,-2,4,2,23,,,,
Bulls,Mavericks,4,10,2,-6,2,15,,,,
Bulls,Pistons,-6,3,4,10,2,20,,,,
Bulls,Warriors,-16,-19,-24,-31,2,29,,,,
Bulls,Celtics,-11,-15,-8,-9,2,4,,,,
Bulls,Cavaliers,7,5,14,13,2,3,,,,
Bulls,Heat,5,-2,7,-5,2,8,,,,
Bulls,Lakers,17,18,19,23,2,13,,,,
Bulls,Clippers,-2,-4,-11,-27,2,5,,,,
Bulls,Jazz,0,4,1,-9,2,10,,,,
Bulls,Kings,9,3,5,5,2,11,,,,
Bulls,Nuggets,-4,2,16,-5,2,17,,,,
Bulls,Timberwolves,-5,6,0,-7,2,27,,,,
Bulls,Hornets,-18,-15,-22,-17,2,9,,,,
Bulls,Hawks,1,-5,-18,-23,2,7,,,,
Bulls,Cavaliers,-7,-6,-14,-11,2,3,,,,
Bulls,Raptors,-11,-6,8,10,2,21,,,,
Bulls,Lakers,1,4,16,11,2,13,,,,
Bulls,Wizards,-3,2,10,5,2,30,,,,
Bulls,Hawks,-5,-7,-12,-15,2,7,,,,
Bulls,Trailblazers,0,-10,-6,-8,2,28,,,,
Bulls,Heat,-6,-3,-13,-18,2,8,,,,
Bulls,Magic,-10,-10,-17,-13,2,14,,,,
Bulls,Rockets,6,12,8,8,2,22,,,,
Bulls,Bucks,9,7,4,10,2,1,,,,
Bulls,Spurs,0,-7,-10,-8,2,24,,,,
Bulls,Heat,8,4,-3,-22,2,8,,,,
Bulls,Raptors,5,6,7,2,2,21,,,,
