1,9,-8,-15,-17,-11
1,16,6,5,7,2
1,20,-3,-11,-10,-15
1,19,-3,9,-2,4
1,18,-1,6,11,18
1,11,10,13,27,26
1,15,8,-8,-3,-11
1,19,1,-7,-7,-6
1,6,5,5,5,10
1,7,5,-17,-14,-7
1,8,6,0,-5,-23
1,29,9,-3,-11,-3
1,14,-7,5,-5,4
1,21,-3,-5,-6,-6
1,14,7,6,7,8
1,3,-2,4,18,17
1,16,1,1,12,18
1,16,3,10,3,9
1,24,-2,13,2,-1
1,28,0,-7,9,8
1,7,7,20,8,-4
1,30,9,0,0,-5
1,21,-10,-20,-10,-22
1,2,12,19,22,11
1,2,19,19,22,26
1,3,-8,-4,-6,-6
1,3,-9,-5,-15,-11
1,30,8,15,22,27
1,30,-1,4,2,-5
2,4,10,8,6,6
2,18,4,21,25,17
2,16,18,21,29,30
2,4,-11,-3,-11,-7
2,12,-9,1,-3,-13
2,18,-16,-19,-24,-17
2,14,13,9,25,32
2,7,-8,-7,-6,-8
2,8,1,0,0,3
2,30,1,-3,11,11
2,28,21,19,20,25
2,10,-1,-2,8,8
2,5,10,5,5,-7
2,13,0,1,5,8
2,17,12,0,-3,-3
2,23,4,10,26,16
2,13,11,0,3,-6
2,3,-3,-1,8,6
2,15,-11,-12,-16,-25
2,28,3,-8,1,-2
2,20,-11,-7,1,-11
2,24,4,13,9,4
2,8,2,0,8,5
2,27,16,4,-3,-5
2,1,-12,-19,-22,-11
2,1,-19,-19,-22,-26
2,20,16,35,34,31
2,30,11,1,0,-10
2,9,4,-8,-8,-12
2,24,-11,-5,-11,-19
2,18,9,10,2,5
3,12,10,3,18,29
3,21,5,10,4,3
3,14,13,17,18,6
3,22,-6,4,1,8
3,4,11,17,17,6
3,23,15,11,2,1
3,7,0,-11,-5,-4
3,30,-5,2,9,11
3,9,10,-2,-1,7
3,21,5,4,7,4
3,18,-11,-5,-12,-10
3,20,11,17,26,23
3,28,15,21,20,12
3,15,20,34,41,38
3,23,-6,-6,-4,4
3,1,2,-4,-18,-17
3,5,4,-8,-20,-19
3,2,3,1,-8,-6
3,21,3,1,9,4
3,12,10,15,27,32
3,8,4,11,18,30
3,9,10,15,11,11
3,6,12,15,15,17
3,6,-12,-11,-21,-8
3,13,-5,3,6,11
3,1,8,4,6,6
3,1,9,5,15,11
3,16,14,26,41,20
3,29,-2,-3,-7,1
3,20,-3,-6,-12,-16
4,16,2,6,16,5
4,2,-10,-8,-6,-6
4,9,9,3,-1,6
4,2,11,3,11,7
4,3,-11,-17,-17,-6
4,17,-19,-25,-20,-16
4,30,-26,-15,-20,-25
4,12,4,10,13,28
4,18,-7,3,3,6
4,19,-1,-5,-10,-1
4,15,12,8,3,7
4,29,-2,-7,-29,-16
4,20,7,3,-2,2
4,27,2,-10,-13,6
4,16,14,2,13,19
4,24,10,2,-1,-6
4,8,2,17,10,8
4,20,-3,-6,-8,-7
4,11,0,1,-3,5
4,23,-8,-8,0,1
4,22,-9,-10,6,-1
4,14,-1,-1,12,30
4,21,3,8,-7,-7
4,26,3,4,4,-3
4,24,-9,-9,-4,-7
4,9,1,-9,0,8
4,8,18,17,6,10
